"GpsTime","Y","X","Z","Pitch","Azimuth"
407107.000000,3289429.781211,276251.085173,539.471689,1.835866,-90.130974
407107.010000,3289429.782227,276250.414237,539.483439,1.836983,-90.124882
407107.020000,3289429.783230,276249.743332,539.495104,1.837934,-90.118644
407107.030000,3289429.784222,276249.072459,539.506683,1.838720,-90.112263
407107.040000,3289429.785205,276248.401616,539.518176,1.839345,-90.105742
407107.050000,3289429.786178,276247.730804,539.529582,1.839811,-90.099085
407107.060000,3289429.787142,276247.060021,539.540903,1.840122,-90.092295
407107.070000,3289429.788100,276246.389268,539.552136,1.840279,-90.085374
407107.080000,3289429.789051,276245.718543,539.563283,1.840287,-90.078326
407107.090000,3289429.789997,276245.047846,539.574343,1.840146,-90.071155
407107.100000,3289429.790938,276244.377176,539.585315,1.839861,-90.063863
407107.110000,3289429.791876,276243.706534,539.596199,1.839434,-90.056454
407107.120000,3289429.792811,276243.035918,539.606996,1.838868,-90.048931
407107.130000,3289429.793744,276242.365329,539.617704,1.838164,-90.041297
407107.140000,3289429.794677,276241.694765,539.628324,1.837327,-90.033555
407107.150000,3289429.795610,276241.024225,539.638855,1.836359,-90.025709
407107.160000,3289429.796545,276240.353711,539.649297,1.835262,-90.017761
407107.170000,3289429.797481,276239.683220,539.659650,1.834040,-90.009715
407107.180000,3289429.798421,276239.012753,539.669914,1.832695,-90.001575
407107.190000,3289429.799365,276238.342308,539.680088,1.831229,-89.993343
407107.200000,3289429.800313,276237.671886,539.690172,1.829646,-89.985022
407107.210000,3289429.801268,276237.001486,539.700167,1.827949,-89.976617
407107.220000,3289429.802230,276236.331108,539.710070,1.826139,-89.968129
407107.230000,3289429.803199,276235.660750,539.719883,1.824220,-89.959562
407107.240000,3289429.804177,276234.990413,539.729606,1.822195,-89.950920
407107.250000,3289429.805165,276234.320095,539.739237,1.820066,-89.942205
407107.260000,3289429.806163,276233.649797,539.748777,1.817836,-89.933422
407107.270000,3289429.807174,276232.979518,539.758225,1.815507,-89.924572
