"GpsTime","Y","X","Z","Roll","Pitch","Azimuth"
407106.003323,3289429.723912,276318.006408,538.873527,-1.806850,2.087757,-90.494178
407106.008323,3289429.724757,276317.671054,538.881446,-1.813094,2.085228,-90.497589
407106.013323,3289429.725609,276317.335720,538.889323,-1.818916,2.082248,-90.501423
407106.018323,3289429.726457,276317.000383,538.897161,-1.824268,2.079078,-90.504376
407106.023323,3289429.727300,276316.665043,538.904957,-1.829880,2.076308,-90.508435
407106.028323,3289429.728138,276316.329702,538.912710,-1.835046,2.074201,-90.512297
407106.033323,3289429.728971,276315.994363,538.920424,-1.839540,2.071016,-90.515686
407106.038323,3289429.729798,276315.659015,538.928102,-1.843387,2.069134,-90.519335
407106.043323,3289429.730626,276315.323665,538.935741,-1.847930,2.067652,-90.524092
407106.048323,3289429.731454,276314.988319,538.943344,-1.852666,2.065319,-90.528164
407106.053324,3289429.732276,276314.652976,538.950911,-1.856059,2.061921,-90.531326
407106.058324,3289429.733095,276314.317625,538.958443,-1.859241,2.059826,-90.534750
407106.063324,3289429.733917,276313.982274,538.965938,-1.863331,2.058576,-90.539075
407106.068324,3289429.734730,276313.646929,538.973394,-1.866310,2.056249,-90.542929
407106.073324,3289429.735528,276313.311579,538.980811,-1.866846,2.053519,-90.545674
407106.078324,3289429.736327,276312.976228,538.988191,-1.868295,2.050973,-90.549520
407106.083324,3289429.737126,276312.640872,538.995534,-1.871501,2.049293,-90.553613
407106.088324,3289429.737919,276312.305512,539.002843,-1.874489,2.047613,-90.557706
407106.093324,3289429.738707,276311.970149,539.010120,-1.877671,2.045954,-90.561143
407106.098324,3289429.739491,276311.634785,539.017364,-1.881766,2.044041,-90.565665
407106.103324,3289429.740269,276311.299413,539.024582,-1.885410,2.043234,-90.569787
407106.108324,3289429.741041,276310.964042,539.031768,-1.888835,2.041771,-90.573886
407106.113324,3289429.741806,276310.628664,539.038922,-1.891573,2.040992,-90.577133
407106.118325,3289429.742566,276310.293284,539.046043,-1.894344,2.041276,-90.581290
407106.123325,3289429.743323,276309.957908,539.053131,-1.897317,2.041357,-90.585003
407106.128325,3289429.744070,276309.622532,539.060188,-1.900281,2.040352,-90.588461
407106.133325,3289429.744807,276309.287160,539.067217,-1.903034,2.038684,-90.592116
407106.138325,3289429.745536,276308.951787,539.074218,-1.905561,2.037461,-90.595566
407106.143325,3289429.746255,276308.616414,539.081192,-1.907877,2.036448,-90.599243
407106.148325,3289429.746964,276308.281038,539.088140,-1.909733,2.035894,-90.602278
407106.153325,3289429.747661,276307.945662,539.095061,-1.910512,2.035106,-90.605743
407106.158325,3289429.748350,276307.610281,539.101957,-1.910613,2.035215,-90.608582
407106.163325,3289429.749029,276307.274903,539.108820,-1.910322,2.034624,-90.612710
407106.168325,3289429.749700,276306.939523,539.115649,-1.909329,2.034077,-90.615526
407106.173325,3289429.750362,276306.604141,539.122449,-1.907470,2.033523,-90.618561
407106.178325,3289429.751017,276306.268758,539.129222,-1.905182,2.033399,-90.621830
407106.183326,3289429.751667,276305.933369,539.135966,-1.903315,2.033289,-90.624661
407106.188326,3289429.752307,276305.597983,539.142686,-1.901237,2.032517,-90.627689
407106.193326,3289429.752940,276305.262593,539.149375,-1.898480,2.032204,-90.630076
407106.198326,3289429.753569,276304.927202,539.156032,-1.896402,2.032087,-90.633126
407106.203326,3289429.754193,276304.591809,539.162658,-1.894997,2.032393,-90.636627
407106.208326,3289429.754812,276304.256422,539.169250,-1.893356,2.031840,-90.639662
407106.213326,3289429.755424,276303.921033,539.175812,-1.891035,2.031090,-90.642035
407106.218326,3289429.756032,276303.585644,539.182343,-1.889402,2.030529,-90.645289
407106.223326,3289429.756633,276303.250254,539.188844,-1.887301,2.030216,-90.647676
407106.228326,3289429.757226,276302.914867,539.195318,-1.884325,2.029248,-90.650041
407106.233326,3289429.757811,276302.579474,539.201767,-1.881092,2.028971,-90.651335
407106.238326,3289429.758381,276302.244075,539.208194,-1.877914,2.029081,-90.654173
407106.243326,3289429.758939,276301.908680,539.214602,-1.874284,2.029206,-90.656575
407106.248327,3289429.759482,276301.573290,539.220989,-1.869980,2.028034,-90.658496
407106.253327,3289429.760014,276301.237901,539.227355,-1.865685,2.026855,-90.660636
407106.258327,3289429.760535,276300.902510,539.233701,-1.861390,2.026114,-90.662790
407106.263327,3289429.761045,276300.567121,539.240021,-1.856665,2.024928,-90.665148
407106.268327,3289429.761540,276300.231728,539.246319,-1.850590,2.024215,-90.666428
407106.273327,3289429.762027,276299.896335,539.252593,-1.844781,2.023460,-90.669020
407106.278327,3289429.762505,276299.560942,539.258847,-1.838058,2.022958,-90.670526
407106.283327,3289429.762974,276299.225552,539.265087,-1.830695,2.022006,-90.672455
407106.288327,3289429.763437,276298.890159,539.271309,-1.822857,2.021526,-90.673305
407106.293327,3289429.763892,276298.554767,539.277513,-1.815260,2.020807,-90.674804
407106.298327,3289429.764336,276298.219375,539.283700,-1.807016,2.020081,-90.676521
407106.303327,3289429.764775,276297.883988,539.289862,-1.798528,2.018065,-90.677542
407106.308327,3289429.765208,276297.548597,539.295997,-1.790680,2.016063,-90.678126
407106.313327,3289429.765632,276297.213199,539.302110,-1.783092,2.016212,-90.679871
407106.318328,3289429.766052,276296.877805,539.308201,-1.775737,2.016129,-90.682046
407106.323328,3289429.766464,276296.542411,539.314268,-1.767204,2.014810,-90.681777
407106.328328,3289429.766869,276296.207017,539.320310,-1.758717,2.013450,-90.682819
407106.333328,3289429.767271,276295.871613,539.326325,-1.750216,2.014070,-90.683485
407106.338328,3289429.767661,276295.536217,539.332312,-1.740434,2.013789,-90.684998
407106.343328,3289429.768042,276295.200823,539.338268,-1.729270,2.012477,-90.684511
407106.348328,3289429.768411,276294.865427,539.344196,-1.717474,2.010926,-90.684673
407106.353328,3289429.768773,276294.530030,539.350101,-1.706123,2.010023,-90.685074
407106.358328,3289429.769128,276294.194633,539.355976,-1.694975,2.008697,-90.685024
407106.363328,3289429.769470,276293.859237,539.361823,-1.683833,2.006709,-90.685175
407106.368328,3289429.769803,276293.523836,539.367643,-1.672904,2.006039,-90.685145
407106.373328,3289429.770128,276293.188437,539.373431,-1.662240,2.005330,-90.686427
407106.378328,3289429.770443,276292.853035,539.379185,-1.651084,2.004447,-90.686173
407106.383329,3289429.770748,276292.517635,539.384906,-1.639303,2.002665,-90.686768
407106.388329,3289429.771052,276292.182233,539.390597,-1.627718,2.001776,-90.686733
407106.393329,3289429.771354,276291.846835,539.396257,-1.616147,2.000219,-90.687116
407106.398329,3289429.771647,276291.511436,539.401885,-1.603243,1.998899,-90.686850
407106.403329,3289429.771935,276291.176042,539.407483,-1.590127,1.996917,-90.686785
407106.408328,3289429.772221,276290.840646,539.413051,-1.577004,1.994942,-90.686502
407106.413328,3289429.772502,276290.505246,539.418586,-1.563436,1.993627,-90.686018
407106.418328,3289429.772781,276290.169842,539.424090,-1.550126,1.993157,-90.686652
407106.423328,3289429.773059,276289.834436,539.429565,-1.537449,1.992705,-90.686630
407106.428328,3289429.773334,276289.499034,539.435010,-1.524357,1.991580,-90.687246
407106.433328,3289429.773605,276289.163628,539.440427,-1.510345,1.990489,-90.686551
407106.438328,3289429.773878,276288.828224,539.445816,-1.497229,1.989163,-90.686506
407106.443328,3289429.774150,276288.492820,539.451182,-1.483881,1.987848,-90.686024
407106.448329,3289429.774417,276288.157416,539.456521,-1.470298,1.986326,-90.685100
407106.453329,3289429.774678,276287.822007,539.461831,-1.456278,1.985241,-90.684187
407106.458329,3289429.774934,276287.486598,539.467113,-1.442734,1.984564,-90.684379
407106.463329,3289429.775183,276287.151193,539.472366,-1.429167,1.983905,-90.683915
407106.468329,3289429.775424,276286.815790,539.477584,-1.415577,1.981731,-90.682757
407106.473329,3289429.775654,276286.480385,539.482773,-1.401564,1.979984,-90.682048
407106.478329,3289429.775873,276286.144973,539.487937,-1.386905,1.979324,-90.681584
407106.483329,3289429.776086,276285.809559,539.493074,-1.372268,1.979304,-90.681793
407106.488329,3289429.776289,276285.474138,539.498183,-1.356728,1.979304,-90.681126
407106.493329,3289429.776484,276285.138717,539.503266,-1.340546,1.978857,-90.680887
407106.498329,3289429.776674,276284.803296,539.508325,-1.323483,1.978633,-90.680434
407106.503329,3289429.776864,276284.467875,539.513362,-1.306864,1.978404,-90.680200
407106.508329,3289429.777047,276284.132457,539.518377,-1.289137,1.977311,-90.679509
407106.513330,3289429.777222,276283.797040,539.523375,-1.269872,1.976223,-90.678600
407106.518330,3289429.777396,276283.461622,539.528354,-1.250616,1.975785,-90.677924
407106.523330,3289429.777573,276283.126201,539.533308,-1.232211,1.975361,-90.676592
407106.528330,3289429.777744,276282.790780,539.538236,-1.213610,1.974704,-90.675912
407106.533330,3289429.777909,276282.455353,539.543143,-1.194120,1.975368,-90.674822
